eoa,points
0x09d9b4d1059b986ef5cc8e13385c29e5c0f15074,300
0x3fe84667459ee566e4e9033cfe67b896871fa2da,300
0x723554ba8578ae483293bed59dbdb0532d959734,300
0x61cd5646f4e6048c47344cf948dc048975e996cd,300
0x44d1d08522cf2dac82e53f4ed47440e9d512b595,300
0x80b9d0b16c7b412f2343c92b16dcb567cb564f74,300
0xa17259d7c30dc95063b3a523db5d2ee5d2b26e28,300
0xd89963f94f211e8d575913b95ff5885296e73024,300
0x381b1ccadfaa3c4c5302c4fccab9a7bfa817d321,300
0xdc7371bb474a5af9075568d599d36daeae2955c1,300
0xa5e0fb554f9fd21b0d2dc04b80fcc7ee1f05569f,300
0x529656620D914443405A55ec42Ad0eAEaF0b4A2c,300
0xe182513ac561df9b4cfcda2a0fbd5c773ebece51,300
0xe97abb593c908d78790ff5f515d4817e5bbfbf24,300
0x7eaa6e092632ee1c65a2a139599b26a4eb73f700,300
0x5911f14a1d9e2fce51f2801b5306e6a07c769da3,300
0xe5303066891e98bb422e33c0f6ce7e1662c12c43,300
0xce80789ba9cfebbfc71098d87bd72149f1620c5f,300
0x551bda14f9df59e5b047bfdb51091bfebde9f0a1,300
0x895b6b955b48efc99deb4597ce10ca3b068c9f90,300
0x61bc7f60bf4e7ebf4fa9e7cffa48cd10670b6481,300
0x229e947b98116daed3e46c6d9d460907adc8ffb6,300
0xa22107eCc1F8D2A343C71866965e4E3f4B3E14E8,300
0x4cde2f8811b164809864d5d2dca9777be4a234ba,300
0x4669153f80229B6b7d37C9b26d36392C0C56FBB8,300
0x12c813b4b4a6a96a76f2cf601a5a33b9f4df968c,300
0x3d14cf74efd792b53a08592c059b3e3ce0fe004e,300
0xdd16e1189542acb7dd2837520418e4a2d168cb1a,300
0x30246d3e7eb36fa6f7298b8a79c09b04d5decca7,300
0x93c80e5a8ab29d85dd654eadcd4fe36b762d098a,300
0x490552cec4e083049924e6fa3ca36c714b539dd0,300
0x505e70b7ab01ec5c1c2e8f4a6276af9286e45ca4,300
0x0661425db3bd7f17578598692db7353bab74b765,300
0x5f1b654Bec9f996B3B0EebF8D22FD77751b99210,300
0x6f15a9d93c72de1436f07841e18bc64e01b16b15,300
0xc210716539e639209af5a28c14441f90480e8425,300
0x0ab02c3af6108a5883357453127bd6edf26c07d0,300
0xec1e614973b9cf155d7540cc5b028b0d1fdf46bb,300
0xe506E0d7e1F7A33cb777390F5Dc9068191A55894,300
0x039f538555b99565aF40c9a6937aBF52a67394ce,300
0x6D7D1FC271dB84403253Fd0Af8C73075e79Ca520,300
0x0F38Fff7504EAF5f9B5124e3721907737Cc16d55,300
0x941aC5A319A952a14Eb3603d04725D5Bf12ccff6,300
0x51670478Df1B435B89Ad9bdAc14Bf44Dd35B2c2E,300
0x7c69fDD81B7E15C18BB892A7CFC1F67cbD6ff87F,300
